Otahuhu Family Doctors,0.00,11.00,17.00,17.00,17.00,17.00
Otahuhu Family Medical Centre,0.00,11.00,17.00,17.00,17.00,17.00
Otara Family & Christian Health Centre,0.00,6.00,17.00,17.00,17.00,17.00
Palms Health,0.00,20.00,30.00,30.00,30.00,30.00
Palomino Medical Centre,0.00,26.00,35.00,35.00,35.00,30.00
Panmure Medical Centre,0.00,32.00,37.00,37.00,37.00,36.50
Panmure Surgery,0.00,10.00,17.00,17.00,17.00,17.00
Papakura East Medical Clinic,0.00,11.00,17.50,17.50,17.50,17.50
Papakura Family Health Centre,0.00,24.00,34.00,34.00,34.00,34.00
Papakura Family Medical Practice,3.76,23.50,34.95,34.95,34.95,34.95
Papakura Family Medicine Clinic Ltd,0.00,26.00,44.00,44.00,44.00,44.00
Papatoetoe Family Doctors,0.00,28.00,40.00,43.00,45.00,38.00
Papatoetoe Medical Centre,0.00,18.00,31.00,31.00,31.00,31.00
Papatoetoe South Medical Centre,0.00,10.00,15.00,15.00,15.00,15.00
Parnell Family Doctor,0.00,40.00,55.00,55.00,55.00,55.00
Parnell Medical Centre Ltd,0.00,50.00,60.00,60.00,60.00,60.00
Pacific Horizon Limited Partnership,0.00,10.00,17.00,17.00,17.00,17.00
Peninsula Medical Centre,0.00,29.00,39.00,39.00,39.00,37.00
Ponsonby Medical Centre,32.00,49.00,50.00,61.00,61.00,52.00
Point Chevalier Medical and Surgical Centre,0.00,26.00,31.00,38.00,38.00,38.00
Puhinui Medical Centre,0.00,15.00,26.00,28.00,28.00,23.00
Ranfurly Medical Centre,0.00,40.00,47.00,47.00,47.00,45.00
Rangitoto Medical Centre,0.00,16.00,32.00,32.00,32.00,30.00
Ranui Medical Centre,0.00,0.00,15.00,15.00,15.00,15.00
Ratanui Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Remuera Doctors Ltd,0.00,40.00,46.00,46.50,46.50,44.50
Remuera Medical Centre,28.00,56.00,56.00,56.00,56.00,56.00
Remuera Village Medical Centre,0.00,42.00,57.00,57.00,57.00,57.00
Residential Healthcare Ltd,0.00,0.00,0.00,0.00,0.00,0.00
Rosebank Road Medical Services,0.00,11.00,16.50,16.50,16.50,16.50
Rosehill Christian Medical Centre,0.00,5.50,16.00,16.00,16.00,11.00
Roselands Doctors,0.00,26.50,39.50,39.50,39.50,39.50
Royal Heights Medical Centre,0.00,31.00,39.00,40.00,40.00,37.00
Royal Oak Mall Medical Centre,0.00,35.00,45.00,45.00,45.00,45.00
St Patrick's Medical & Dental Centre,0.00,0.00,16.50,16.50,16.50,16.50
Sandringham Health Centre,0.00,0.00,15.00,15.00,15.00,10.00
Selwyn Medical Centre,0.00,40.00,55.00,55.00,55.00,55.00
Selwyn Village Medical Centre,0.00,0.00,0.00,0.00,0.00,36.00
St Heliers Health Centre,20.00,30.00,44.00,50.00,55.00,55.00
St Heliers Medical Centre,28.00,50.00,50.00,57.00,51.00,51.00
Stoddard Road Medical,0.00,11.50,17.50,17.50,17.50,17.50
Surrey Medical Centre,0.00,10.00,17.00,17.00,17.00,17.00
Swanson Medical Centre,0.00,11.50,17.50,17.50,17.50,17.50
Takanini Family Health Care,0.00,11.50,17.00,17.00,17.00,17.00
Te Atatu South Medical Centre,0.00,31.00,31.00,38.00,38.00,31.00
Te Puna Hauora,0.00,0.00,16.00,16.00,16.00,16.00
The Gardens Medical Centre,0.00,13.00,35.00,35.00,35.00,21.00
The Wood Street Doctors,0.00,11.50,17.00,17.50,17.50,17.00
Tiakina Te Ora,0.00,22.00,32.00,43.00,40.00,32.00
Titirangi Medical Centre,0.00,42.00,45.00,45.00,45.00,42.00
TL Care,0.00,11.00,17.00,17.00,17.00,17.00
Tuakau Health Care,0.00,31.50,37.50,42.50,42.50,38.00
Turuki Health Centre,0.00,0.00,15.00,15.00,15.00,15.00
Unitec Student Health Centre,0.00,8.00,8.00,30.00,30.00,30.00
Service,0.00,11.50,17.50,17.50,17.50,17.50
West Fono Health Trust,0.00,5.00,15.00,15.00,15.00,10.00
Westcare Cross New Lynn,0.00,0.00,0.00,15.00,15.00,15.00
Westgate Medical Centre,0.00,32.00,38.00,40.00,40.00,35.00
Westmere Medical Centre,0.00,41.00,41.00,41.00,41.00,41.00
Whangaparaoa Medical Centre,0.00,22.00,30.00,40.00,45.00,35.00
White Cross Lunn Ave,0.00,15.00,38.00,38.00,38.00,38.00
Windsor Medical Centre,10.00,36.00,43.00,43.00,43.00,40.50
Your Health Centre (Peter Cameron),0.00,17.00,29.00,29.00,29.00,28.00
